k,qpar_fid,qper_fid,qpar_ap,qper_ap,P0_fid_AB,P0_AP_AB,delta_P0_AP_minus_fid_AB,P2_fid_AB,P2_AP_AB,delta_P2_AP_minus_fid_AB,P4_fid_AB,P4_AP_AB,delta_P4_AP_minus_fid_AB
0.10062499999999999,1,1,1.02,0.97999999999999998,9917.5747185926975,9971.3276839539139,53.752965361216411,5719.6387860208933,6138.0739679981607,418.43518197726735,483.2122927177038,755.90389279951773,272.69160008181393
0.10263888888888888,1,1,1.02,0.97999999999999998,9646.3289064114288,9702.0802732187967,55.751366807367958,5587.0859264957544,5973.1873084918534,386.10138199609901,482.22064550062032,743.75875555524976,261.53811005462944
0.10465277777777778,1,1,1.02,0.97999999999999998,9402.2514957171061,9460.2639140059982,58.01241828889215,5466.5751894937375,5821.3336697033228,354.75848020958529,481.41166719581634,732.40819816560406,250.99653096978773
0.10666666666666666,1,1,1.02,0.97999999999999998,9183.526535192188,9243.6819058727742,60.155370680586202,5356.8743530068023,5682.3280938613962,325.45374085459389,480.70576177752787,721.67617157527479,240.97040979774692
0.10868055555555554,1,1,1.02,0.97999999999999998,8987.5439967850725,9049.6904150268529,62.146418241780339,5256.5810414847765,5555.5174598583035,298.93641837352698,480.05266333696068,711.90765776970852,231.85499443274784
0.11069444444444444,1,1,1.02,0.97999999999999998,8811.5845059017847,8875.4171356656425,63.832629763857767,5164.3074286275587,5439.8988306452402,275.5914020176815,479.41313083640284,702.98182462308182,223.56869378667898
0.11270833333333333,1,1,1.02,0.97999999999999998,8652.787739910098,8717.7916767777515,65.003936867653465,5078.7435563925492,5334.685519482965,255.94196309041581,478.77181054078892,694.83411726607642,216.0623067252875
0.11472222222222221,1,1,1.02,0.97999999999999998,8508.0786220863047,8573.656107572624,65.577485486319347,4998.6671665962485,5238.9571881335451,240.29002153729652,478.14274985478323,687.54608027904328,209.40333042426005
0.11673611111111111,1,1,1.02,0.97999999999999998,8374.4015170252314,8439.927785565771,65.526268540539604,4922.9208041304901,5151.607875023481,228.68707089299096,477.54810841986728,681.18737751621074,203.63926909634347
0.11874999999999999,1,1,1.02,0.97999999999999998,8248.9191830401505,8313.722305682084,64.803122641933442,4850.5466280978726,5071.5127547181728,220.9661266203002,477.02321424902561,675.63246945540777,198.60925520638216
0.12076388888888888,1,1,1.02,0.97999999999999998,8129.0377739333462,8192.3265516815991,63.288777748252869,4780.798091509072,4997.8915550590064,217.09346354993431,476.61492704022453,670.74270769418831,194.12778065396378
0.12277777777777778,1,1,1.02,0.97999999999999998,8012.2116942904086,8073.3189411748081,61.107246884399501,4712.9889484997584,4929.780978515686,216.79203001592759,476.37353707000921,666.79585988139365,190.42232281138445
0.12479166666666666,1,1,1.02,0.97999999999999998,7896.3513444439322,7954.7726857975804,58.421341353648131,4646.64061724782,4865.9198539766603,219.27923672884026,476.34588115556471,663.67407482061139,187.32819366504668
