k,ell,group,variation,parameter_index,baseline_value,delta,Pell_baseline_AB,Pell_varied_AB,delta_Pell_AB,k_delta_Pell_AB
0.26173611111111111,0,eft,alpha0_ab,0,0.40000000000000002,1,3419.5216668956914,3476.4211613644711,56.899494468779722,14.892652406446581
0.26374999999999998,0,eft,alpha0_ab,0,0.40000000000000002,1,3393.9097447091644,3450.8684488828794,56.958704173714978,15.022858225817325
0.26576388888888891,0,eft,alpha0_ab,0,0.40000000000000002,1,3368.6316913848746,3425.6439488852129,57.012257500338364,15.151799267624648
0.26777777777777778,0,eft,alpha0_ab,0,0.40000000000000002,1,3343.6952433928604,3400.7552909359706,57.060047543110159,15.279412730988387
0.26979166666666665,0,eft,alpha0_ab,0,0.40000000000000002,1,3319.1136512149651,3376.2159099058767,57.10225869091164,15.405713542652203
0.27180555555555558,0,eft,alpha0_ab,0,0.40000000000000002,1,3294.9103402966357,3352.0499148009258,57.139574504290067,15.530853792346621
0.27381944444444445,0,eft,alpha0_ab,0,0.40000000000000002,1,3271.1096134029176,3328.2822854958458,57.172672092928224,15.654989309889999
0.27583333333333332,0,eft,alpha0_ab,0,0.40000000000000002,1,3247.735479308255,3304.9376464521119,57.202167143856968,15.778264437180546
0.27784722222222225,0,eft,alpha0_ab,0,0.40000000000000002,1,3224.8115094687728,3282.0401226849553,57.228613216182566,15.900811213746282
0.27986111111111112,0,eft,alpha0_ab,0,0.40000000000000002,1,3202.3607131025065,3259.6132142801198,57.25250117761334,16.022748593457067
0.28187499999999999,0,eft,alpha0_ab,0,0.40000000000000002,1,3180.4053678066675,3237.6796267622221,57.274258955554615,16.144181743096958
0.28388888888888891,0,eft,alpha0_ab,0,0.40000000000000002,1,3158.9508712465472,3216.2451738783634,57.294302631816208,16.265215913810046
0.28590277777777778,0,eft,alpha0_ab,0,0.40000000000000002,1,3137.9648510459365,3195.277982569376,57.313131523439552,16.38598350569449
0.28791666666666665,0,eft,alpha0_ab,0,0.40000000000000002,1,3117.4101805672572,3174.7414378461854,57.331257278928206,16.506624491558078
0.28993055555555558,0,eft,alpha0_ab,0,0.40000000000000002,1,3097.2503068108463,3154.5994966244871,57.349189813640805,16.627282463329887
0.29194444444444445,0,eft,alpha0_ab,0,0.40000000000000002,1,3077.4491539465116,3134.8165915665854,57.367437620073815,16.748104705193771
0.29395833333333332,0,eft,alpha0_ab,0,0.40000000000000002,1,3057.9710349496213,3115.3575430523238,57.386508102702464,16.869242277690244
0.29597222222222225,0,eft,alpha0_ab,0,0.40000000000000002,1,3038.7805709089298,3096.1874788441582,57.406907935228446,16.990850112496087
0.29798611111111112,0,eft,alpha0_ab,0,0.40000000000000002,1,3019.8441264740777,3077.2732183221619,57.429091848084227,17.113071744453432
0.29999999999999999,0,eft,alpha0_ab,0,0.40000000000000002,1,3001.1444588806617,3058.5974222392633,57.452963358601664,17.2358890075805
0.01,2,eft,alpha0_ab,0,0.40000000000000002,1,22498.582541345102,22498.582218315245,-0.00032302985709975474,-3.2302985709975472e-06
