k,P0_IR_on_AB,P0_IR_off_AB,delta_P0_AB,P2_IR_on_AB,P2_IR_off_AB,delta_P2_AB,P4_IR_on_AB,P4_IR_off_AB,delta_P4_AB
0.20736111111111111,4352.0589069701819,4295.4672339875551,56.591672982626733,3147.9824366634857,3038.4872896427923,109.49514702069337,550.45794820719209,518.42674554344194,32.03120266375015
0.20937500000000001,4305.00890447038,4258.5495056631162,46.459398807263824,3133.8769227376806,3043.4530503119586,90.423872425722038,551.94046180750456,525.05554236976832,26.884919437736244
0.2113888888888889,4258.6626583458074,4224.1529050522813,34.509753293526046,3120.1864370032163,3052.2386829007205,67.947754102495765,553.29671514774213,532.48348668284518,20.813228464896952
0.21340277777777777,4213.1483122408117,4191.8748467309706,21.273465509841117,3106.7896080601677,3063.7138406965873,43.075767363580326,554.53059646275938,540.43915242849653,14.09144403426285
0.21541666666666667,4168.5902529104014,4161.3022894335709,7.287963476830555,3093.5633018794124,3076.7224092170036,16.840892662408805,555.64747516770854,548.64531569102974,7.0021594766787985
0.21743055555555557,4125.1078410636756,4132.0115556147648,-6.9037145510892515,3080.3830358928826,3090.0839856191228,-9.7009497262401965,556.6544734734756,556.81937042536879,-0.16489695189318354
0.21944444444444444,4082.781947999933,4103.5734925786601,-20.791544578727098,3067.1682405227957,3102.7452768716671,-35.577036348871388,557.56520581661084,564.71336586832626,-7.148160051715422
0.22145833333333334,4041.6365633163855,4075.5603401496246,-33.923776833239117,3053.9153483157943,3113.8902031851558,-59.974854869361479,558.40216586007762,572.14279299289331,-13.740627132815689
0.22347222222222224,4001.6923281999279,4047.5406742152418,-45.848346015313837,3040.6309368823486,3122.715738869183,-82.084801986834464,559.18910770363084,578.92703102177882,-19.737923318147978
0.22548611111111111,3962.9715347825299,4019.0786581081934,-56.107123325663451,3027.3244137447205,3128.4079837599425,-101.08357001522199,559.95035229326311,584.88301236820496,-24.93266007494185
0.22750000000000001,3925.4977059658809,3989.7339564787526,-64.23625051287172,3014.0078299870925,3130.1419509638308,-116.13412097673836,560.71086746815911,589.82517487683151,-29.114307408672403
0.22951388888888891,3889.2920361670203,3959.0732755719546,-69.78123940493424,3000.6954557602239,3127.108556015964,-126.41310025574012,561.49553156285458,593.57163594393512,-32.07610438108054
0.23152777777777778,3854.3142846667838,3926.8875591191336,-72.573274452349779,2987.3979580952728,3119.0229198310963,-131.62496173582349,562.31380843034606,596.06044774407462,-33.746639313728565
0.23354166666666668,3820.4691490860296,3893.1768745193049,-72.7077254332753,2974.1221785187081,3106.0896322360536,-131.96745371734551,563.16043482247005,597.3416058717014,-34.181171049231352
0.23555555555555557,3787.6614487248089,3857.9525472913228,-70.291098566513938,2960.876001830155,3088.5400803202738,-127.66407849011875,564.02915099172969,597.4712016673119,-33.442050675582209
0.23756944444444444,3755.798398972559,3821.229698934666,-65.431299962107005,2947.66852088836,3066.615006128266,-118.946485239906,564.91316656586218,596.5074313756835,-31.594264809821311
0.23958333333333334,3724.7897821112051,3783.0273429246454,-58.237560813440268,2934.5099811315986,3040.5647432346686,-106.05476210307006,565.80510139231569,594.51064937695321,-28.705547984637519
0.24159722222222221,3694.5483229496031,3743.3749488137901,-48.826625864187008,2921.4118885826015,3010.6596797131429,-89.247791130541373,566.69686460834782,591.54559042746735,-24.848725819119522
0.24361111111111111,3664.9957017512688,3702.4926535562781,-37.496951805009303,2908.3920650865698,2977.47551946363,-69.083454377060207,567.57783864274779,587.74188553707506,-20.164046894327271
0.24562500000000001,3636.0616446124495,3660.8162877682571,-24.754643155807571,2895.4747788666341,2941.934114492788,-46.459335626153916,568.43507759756778,583.30276799009494,-14.867690392527152
0.24763888888888888,3607.6764520453798,3618.7994405532395,-11.122988507859645,2882.6847918253079,2904.9911803770865,-22.306388551778582,569.25552624297279,578.43886183806285,-9.1833355950900568
0.24965277777777778,3579.7710007771675,3576.9024088983533,2.8685918788141862,2870.0471385123124,2867.6189638585388,2.4281746537735671,570.02604964794295,573.36451072118905,-3.3384610732460942
0.25166666666666665,3552.2771218367707,3535.5923401471928,16.684781689577903,2857.587189339547,2830.8065939611161,26.780595378430917,570.73334650642596,568.29785687182823,2.4354896345977295
0.25368055555555552,3525.127941667959,3495.3433699173438,29.784571750615214,2845.3306679600937,2795.5604211547197,49.770246805373972,571.36387094932843,563.46091746824675,7.9029534810816813
0.25569444444444445,3498.2728446841916,3456.5866258438436,41.686218840347919,2833.3000692309929,2762.7728610882059,70.527208142787003,571.90690741206856,559.05050790641292,12.856399505655645
0.25770833333333332,3471.712850898396,3419.5840705224782,52.128780375917813,2821.5058448016002,2732.8918386868208,88.614006114779386,572.36262803710019,555.16493885001546,17.197689187084734
0.25972222222222219,3445.4590935140532,3384.5613334304553,60.897760083597859,2809.9561817163544,2706.2697509256577,103.6864307906967,572.73404665206795,551.88135387539319,20.852692776674758
