k,mu,case,P_AA,P_AB,P_BB,geometric_mean,r_minus_one,valid_geometric_mean,construction
0.050277777777777775,0.5,linear_deterministic,28241.65421306709,19768.703542774216,13837.774402792398,19768.703542774216,0,1,Linear deterministic
0.052291666666666667,0.5,linear_deterministic,27396.14631086545,19176.858454844358,13423.490151652577,19176.858454844354,2.2204460492503131e-16,1,Linear deterministic
0.054305555555555558,0.5,linear_deterministic,26650.030117612729,18654.586399314867,13057.906208500597,18654.586399314867,0,1,Linear deterministic
0.056319444444444443,0.5,linear_deterministic,25983.35650235806,18187.92322835296,12731.247840533611,18187.923228352956,2.2204460492503131e-16,1,Linear deterministic
0.058333333333333334,0.5,linear_deterministic,25375.866393619723,17762.687860536455,12433.588478783089,17762.687860536455,0,1,Linear deterministic
0.060347222222222226,0.5,linear_deterministic,24808.810117989124,17365.755784413239,12155.741147182658,17365.755784413239,0,1,Linear deterministic
0.06236111111111111,0.5,linear_deterministic,24264.835272623885,16984.98056766031,11889.203517869273,16984.98056766031,0,1,Linear deterministic
0.064375000000000002,0.5,linear_deterministic,23728.375135284252,16609.465734608537,11626.348218800202,16609.465734608537,0,1,Linear deterministic
0.066388888888888886,0.5,linear_deterministic,23186.548927500622,16230.194933370769,11360.863938780614,16230.194933370767,2.2204460492503131e-16,1,Linear deterministic
0.068402777777777771,0.5,linear_deterministic,22629.456357553681,15840.238108626745,11087.899743302341,15840.238108626745,0,1,Linear deterministic
0.070416666666666669,0.5,linear_deterministic,22049.925283778997,15434.574868344789,10803.941432934986,15434.574868344791,-1.1102230246251565e-16,1,Linear deterministic
0.072430555555555554,0.5,linear_deterministic,21444.398542499523,15010.715247116284,10507.246066307544,15010.715247116284,0,1,Linear deterministic
0.074444444444444438,0.5,linear_deterministic,20811.632316459763,14567.788584474041,10197.204189221076,14567.788584474043,-1.1102230246251565e-16,1,Linear deterministic
0.076458333333333323,0.5,linear_deterministic,20153.845084693807,14107.34776976717,9874.9027920385215,14107.347769767168,2.2204460492503131e-16,1,Linear deterministic
0.078472222222222221,0.5,linear_deterministic,19474.892414253252,13632.091626261232,9542.230999477757,13632.091626261232,0,1,Linear deterministic
0.080486111111111105,0.5,linear_deterministic,18781.127367731162,13146.46718162797,9202.3016496107066,13146.46718162797,0,1,Linear deterministic
0.08249999999999999,0.5,linear_deterministic,18079.729206618387,12655.499788169336,8858.6323975319447,12655.49978816934,-3.3306690738754696e-16,1,Linear deterministic
0.084513888888888888,0.5,linear_deterministic,17379.040766655624,12165.02927996998,8515.3110214497356,12165.029279969978,2.2204460492503131e-16,1,Linear deterministic
0.086527777777777773,0.5,linear_deterministic,16687.570957885229,11681.011739696713,8176.5066711796562,11681.011739696714,-1.1102230246251565e-16,1,Linear deterministic
0.088541666666666657,0.5,linear_deterministic,16013.397581518255,11209.101481033847,7846.1772632889724,11209.101481033846,2.2204460492503131e-16,1,Linear deterministic
0.090555555555555542,0.5,linear_deterministic,15364.340991852318,10754.772608926409,7528.1545710975006,10754.772608926407,2.2204460492503131e-16,1,Linear deterministic
0.09256944444444444,0.5,linear_deterministic,14746.810442787741,10322.511482385291,7225.5789628115108,10322.511482385291,0,1,Linear deterministic
0.094583333333333325,0.5,linear_deterministic,14166.269742263137,9916.1426646642649,6941.1275610982511,9916.1426646642631,2.2204460492503131e-16,1,Linear deterministic
0.096597222222222209,0.5,linear_deterministic,13626.99958910751,9538.6625633051044,6676.8977940915447,9538.6625633051044,0,1,Linear deterministic
0.098611111111111108,0.5,linear_deterministic,13131.20613570077,9191.6154397768114,6433.9706131827279,9191.6154397768132,-2.2204460492503131e-16,1,Linear deterministic
0.10062499999999999,0.5,linear_deterministic,12680.614034247525,8876.2085141600637,6213.1910469052345,8876.2085141600619,2.2204460492503131e-16,1,Linear deterministic
0.10263888888888888,0.5,linear_deterministic,12274.833104355821,8592.1686611372406,6014.3679082065401,8592.1686611372406,0,1,Linear deterministic
0.10465277777777778,0.5,linear_deterministic,11912.46833746136,8338.5193937881886,5836.8176695946895,8338.5193937881886,0,1,Linear deterministic
0.10666666666666666,0.5,linear_deterministic,11591.507221248123,8113.8519839373294,5679.5542426582688,8113.8519839373294,0,1,Linear deterministic
0.10868055555555554,0.5,linear_deterministic,11308.331593327568,7915.6337771383032,5540.8048107417944,7915.6337771383041,-1.1102230246251565e-16,1,Linear deterministic
0.11069444444444444,0.5,linear_deterministic,11059.052444973066,7741.1425318615775,5418.6638499788951,7741.1425318615766,2.2204460492503131e-16,1,Linear deterministic
0.11270833333333333,0.5,linear_deterministic,10839.273318739355,7587.3008019881363,5310.9771999498817,7587.3008019881354,2.2204460492503131e-16,1,Linear deterministic
0.11472222222222221,0.5,linear_deterministic,10643.87340962425,7450.5241114493056,5215.2357886081909,7450.5241114493065,-1.1102230246251565e-16,1,Linear deterministic
0.11673611111111111,0.5,linear_deterministic,10467.679386234311,7327.1912171564354,5128.9048080109633,7327.1912171564354,0,1,Linear deterministic
0.11874999999999999,0.5,linear_deterministic,10305.613743330625,7213.7479531587533,5049.4964033926753,7213.7479531587542,-1.1102230246251565e-16,1,Linear deterministic
0.12076388888888888,0.5,linear_deterministic,10152.711921499795,7106.7192140639618,4974.5780613151737,7106.7192140639618,0,1,Linear deterministic
0.12277777777777778,0.5,linear_deterministic,10004.028602481034,7002.6433633267725,4901.7266965613371,7002.6433633267725,0,1,Linear deterministic
0.12479166666666666,0.5,linear_deterministic,9855.2858226408007,6898.5259012163806,4828.846211687166,6898.5259012163797,2.2204460492503131e-16,1,Linear deterministic
0.12680555555555556,0.5,linear_deterministic,9703.1875209728878,6792.0596427874334,4754.3216176611977,6792.0596427874343,-1.1102230246251565e-16,1,Linear deterministic
0.12881944444444443,0.5,linear_deterministic,9544.5167592493181,6680.9927878363542,4676.5766939291334,6680.9927878363542,0,1,Linear deterministic
0.13083333333333333,0.5,linear_deterministic,9376.6722501916192,6563.5044811051603,4594.3368738954423,6563.5044811051594,2.2204460492503131e-16,1,Linear deterministic
0.13284722222222223,0.5,linear_deterministic,9198.8641297130343,6439.0418316248506,4507.215143605792,6439.0418316248506,0,1,Linear deterministic
0.1348611111111111,0.5,linear_deterministic,9010.6340177112124,6307.2839813708424,4414.9869080757753,6307.2839813708424,0,1,Linear deterministic
0.136875,0.5,linear_deterministic,8811.6492024441723,6167.9980379541639,4317.4891467142979,6167.9980379541639,0,1,Linear deterministic
0.1388888888888889,0.5,linear_deterministic,8602.9712262741359,6021.9270621254727,4215.2419888151298,6021.9270621254727,0,1,Linear deterministic
0.14090277777777779,0.5,linear_deterministic,8386.5304856802613,5870.4222970352157,4109.1912805147203,5870.4222970352148,2.2204460492503131e-16,1,Linear deterministic
0.14291666666666666,0.5,linear_deterministic,8164.2705877669341,5714.8442329495465,4000.2893407051565,5714.8442329495465,0,1,Linear deterministic
0.14493055555555556,0.5,linear_deterministic,7938.290186320467,5556.6618899800542,3889.5644571880407,5556.6618899800551,-1.1102230246251565e-16,1,Linear deterministic
0.14694444444444446,0.5,linear_deterministic,7711.1876884384592,5397.6941066002901,3778.2897843493492,5397.6941066002901,0,1,Linear deterministic
0.14895833333333333,0.5,linear_deterministic,7485.6619980507312,5239.8300671879979,3667.7877173931829,5239.8300671879988,-2.2204460492503131e-16,1,Linear deterministic
0.15097222222222223,0.5,linear_deterministic,7264.4087950428748,5084.9566992596192,3559.3790716994849,5084.9566992596192,0,1,Linear deterministic
0.15298611111111113,0.5,linear_deterministic,7049.806037015318,4934.7385303238989,3454.2289865570597,4934.738530323898,2.2204460492503131e-16,1,Linear deterministic
0.155,0.5,linear_deterministic,6843.6501292178582,4790.4330115676839,3353.2176550556833,4790.4330115676839,0,1,Linear deterministic
0.1570138888888889,0.5,linear_deterministic,6647.6753630162357,4653.254115529744,3257.1948359809844,4653.254115529744,0,1,Linear deterministic
0.1590277777777778,0.5,linear_deterministic,6463.6105527933032,4524.4119809252115,3167.0076044871203,4524.4119809252106,2.2204460492503131e-16,1,Linear deterministic
0.16104166666666667,0.5,linear_deterministic,6292.622415762833,4404.7232884661507,3083.2276221366242,4404.7232884661507,0,1,Linear deterministic
0.16305555555555556,0.5,linear_deterministic,6134.8363027102923,4294.2757809724271,3005.9163069924844,4294.2757809724271,0,1,Linear deterministic
0.16506944444444446,0.5,linear_deterministic,5990.2646528561245,4193.0781652085516,2935.0797533070199,4193.0781652085516,0,1,Linear deterministic
0.16708333333333333,0.5,linear_deterministic,5858.9198811193237,4101.1391309512919,2870.7240434574187,4101.1391309512928,-2.2204460492503131e-16,1,Linear deterministic
0.16909722222222223,0.5,linear_deterministic,5740.5617659317068,4018.2905269802432,2812.731474303459,4018.2905269802432,0,1,Linear deterministic
0.1711111111111111,0.5,linear_deterministic,5634.0750618765487,3943.7517010769943,2760.5556029932209,3943.7517010769943,0,1,Linear deterministic
0.173125,0.5,linear_deterministic,5538.1552091015928,3876.6094843576848,2713.5572274164979,3876.6094843576843,2.2204460492503131e-16,1,Linear deterministic
0.1751388888888889,0.5,linear_deterministic,5451.4976480875966,3815.9507082215123,2671.0971456961879,3815.9507082215123,0,1,Linear deterministic
0.17715277777777777,0.5,linear_deterministic,5372.78853686397,3760.8557065651576,2632.5316078528208,3760.8557065651576,0,1,Linear deterministic
0.17916666666666667,0.5,linear_deterministic,5300.576669013376,3710.308660683098,2597.149558842701,3710.308660683098,0,1,Linear deterministic
0.18118055555555557,0.5,linear_deterministic,5233.3058733240132,3663.2202784432952,2564.1885135742646,3663.2202784432948,2.2204460492503131e-16,1,Linear deterministic
0.18319444444444444,0.5,linear_deterministic,5169.4173233993452,3618.4994091759495,2532.8846860435988,3618.499409175949,2.2204460492503131e-16,1,Linear deterministic
0.18520833333333334,0.5,linear_deterministic,5107.3521931174419,3575.0549024446732,2502.47429043901,3575.0549024446732,0,1,Linear deterministic
0.18722222222222223,0.5,linear_deterministic,5045.6380927089476,3531.8561117480726,2472.2358926450579,3531.8561117480726,0,1,Linear deterministic
0.1892361111111111,0.5,linear_deterministic,4983.2436460419895,3488.1810922522341,2441.664144198553,3488.1810922522345,-1.1102230246251565e-16,1,Linear deterministic
0.19125,0.5,linear_deterministic,4919.2777676528576,3443.4061000959405,2410.3224355707207,3443.4061000959405,0,1,Linear deterministic
0.1932638888888889,0.5,linear_deterministic,4852.8494309599391,3396.9074326531072,2377.7741861097475,3396.9074326531068,2.2204460492503131e-16,1,Linear deterministic
0.19527777777777777,0.5,linear_deterministic,4783.0676094992441,3348.0613873976276,2343.5828152461531,3348.0613873976276,0,1,Linear deterministic
0.19729166666666667,0.5,linear_deterministic,4709.2591925169236,3296.3967989014318,2307.4185156498061,3296.3967989014313,2.2204460492503131e-16,1,Linear deterministic
0.19930555555555557,0.5,linear_deterministic,4631.6643493164929,3242.0817813731546,2269.3989642541519,3242.0817813731551,-1.1102230246251565e-16,1,Linear deterministic
0.20131944444444444,0.5,linear_deterministic,4550.7624655414438,3185.4518961526505,2229.7590479698283,3185.451896152651,-1.1102230246251565e-16,1,Linear deterministic
0.20333333333333334,0.5,linear_deterministic,4467.0329276265938,3126.8427051236995,2188.7336540812221,3126.8427051236995,0,1,Linear deterministic
0.20534722222222224,0.5,linear_deterministic,4380.9551219444911,3066.589770117153,2146.5576698291329,3066.5897701171525,2.2204460492503131e-16,1,Linear deterministic
0.20736111111111111,0.5,linear_deterministic,4293.0387655979284,3005.0498839207717,2103.4808437362231,3005.0498839207717,0,1,Linear deterministic
0.20937500000000001,0.5,linear_deterministic,4204.028725893555,2942.744440225887,2059.8681419903392,2942.744440225887,0,1,Linear deterministic
0.2113888888888889,0.5,linear_deterministic,4114.7797232198682,2880.2717278922105,2016.1383560049912,2880.27172789221,2.2204460492503131e-16,1,Linear deterministic
0.21340277777777777,0.5,linear_deterministic,4026.147099092942,2818.230470544333,1972.7105815120108,2818.230470544333,0,1,Linear deterministic
0.21541666666666667,0.5,linear_deterministic,3938.9861949458095,2757.2193917362665,1930.0039141851053,2757.2193917362665,0,1,Linear deterministic
0.21743055555555557,0.5,linear_deterministic,3854.1496646018199,2697.8353337319577,1888.4361328206396,2697.8353337319581,-2.2204460492503131e-16,1,Linear deterministic
0.21944444444444444,0.5,linear_deterministic,3772.2937703662906,2640.5376682612423,1848.3287893109905,2640.5376682612423,0,1,Linear deterministic
0.22145833333333334,0.5,linear_deterministic,3693.7482332072709,2585.5571939966298,1809.8434385234398,2585.5571939966303,-2.2204460492503131e-16,1,Linear deterministic
0.22347222222222224,0.5,linear_deterministic,3618.8119280765782,2533.1031179529118,1773.126521552402,2533.1031179529118,0,1,Linear deterministic
0.22548611111111111,0.5,linear_deterministic,3547.7837299133666,2483.3846471341139,1738.3244794834281,2483.3846471341139,0,1,Linear deterministic
0.22750000000000001,0.5,linear_deterministic,3480.9625136450841,2436.6109885343135,1705.5837533938763,2436.6109885343135,0,1,Linear deterministic
0.22951388888888891,0.5,linear_deterministic,3418.6309839292639,2392.9800302487088,1675.042861334927,2392.9800302487088,0,1,Linear deterministic
0.23152777777777778,0.5,linear_deterministic,3360.7552239155284,2352.4680310281074,1646.6851848143879,2352.4680310281074,0,1,Linear deterministic
0.23354166666666668,0.5,linear_deterministic,3307.0126712834413,2314.8492030057214,1620.3526763556658,2314.8492030057214,0,1,Linear deterministic
0.23555555555555557,0.5,linear_deterministic,3257.0702037114961,2279.8903665109074,1595.882114357292,2279.8903665109069,2.2204460492503131e-16,1,Linear deterministic
0.23756944444444444,0.5,linear_deterministic,3210.5946989191416,2247.3583419078318,1573.1102772464644,2247.3583419078318,0,1,Linear deterministic
0.23958333333333334,0.5,linear_deterministic,3167.2530346648832,2217.0199495938614,1551.8739434777201,2217.0199495938614,0,1,Linear deterministic
0.24159722222222221,0.5,linear_deterministic,3126.7095681328688,2188.6402456154256,1532.0086564957203,2188.6402456154256,0,1,Linear deterministic
0.24361111111111111,0.5,linear_deterministic,3088.5560571059136,2161.9334677548895,1513.3143878820654,2161.9334677548895,0,1,Linear deterministic
0.24562500000000001,0.5,linear_deterministic,3052.3024651092733,2136.5565992980833,1495.5510321093839,2136.5565992980833,0,1,Linear deterministic
0.24763888888888888,0.5,linear_deterministic,3017.4543879262492,2112.1635661969262,1478.4763435763839,2112.1635661969258,2.2204460492503131e-16,1,Linear deterministic
0.24965277777777778,0.5,linear_deterministic,2983.5174213819701,2088.4082944388892,1461.848076711052,2088.4082944388892,0,1,Linear deterministic
