k,P0_single,P0_geometric,P2_single,P2_geometric,P4_single,P4_geometric,fractional_difference_P0,fractional_difference_P2,fractional_difference_P4
0.14493055555555556,6571.6916270222846,6560.8126216146147,3911.0678041743013,3886.4825624490104,429.81273300362909,424.23362935339514,-0.0016554345555315228,-0.0062860689091227022,-0.012980312638124752
0.14694444444444446,6435.0345066173559,6423.2703459903587,3848.6474652708594,3822.199089572151,427.53080894146626,421.87708404236162,-0.0018281425864771527,-0.0068721222032860196,-0.01322413445034017
0.14895833333333333,6301.0018342164221,6288.3373846533505,3788.1562843956672,3759.8472935945611,425.2347696815018,419.55879880639327,-0.0020099104707920795,-0.0074730261044713775,-0.013347852244913555
0.15097222222222223,6170.6894900072466,6157.1224508519308,3729.7341876479654,3699.5936698496771,422.90499721169442,417.25825977099851,-0.0021986261304001967,-0.008081143663831834,-0.01335225991162577
0.15298611111111113,6044.9820935713551,6030.5227763207804,3673.4308305961808,3641.513163030575,420.52065948988331,414.95267172120577,-0.0023919536942800432,-0.0086887895913983319,-0.013240699696970516
0.155,5924.4059512469266,5909.0776303267849,3619.1733549199289,3585.5585435219805,418.06524703407797,412.62322301180598,-0.0025873177912319771,-0.0092879804589222591,-0.013017164332313888
0.1570138888888889,5809.4440769506082,5793.2824476299984,3566.8665994900821,3531.6581759070104,415.52066417189781,410.24821489284295,-0.0027819579819577281,-0.0098709673044977391,-0.012688777559504672
0.1590277777777778,5700.5685833125572,5683.6210381594638,3516.4009252327,3479.7234379446927,412.86627213397912,407.80208390189932,-0.0029729569788361928,-0.010430405425280164,-0.012265928640536716
0.16104166666666667,5598.0120091033305,5580.3347589629775,3467.6265011928599,3429.6191194535604,410.08513346514906,405.26256555701013,-0.0031577728149933767,-0.010960633080357701,-0.011759918891448343
0.16305555555555556,5501.5794756390496,5483.2330392162976,3420.3441248663462,3381.151650816867,407.17088278239817,402.61873252356861,-0.0033347580461192869,-0.011458634750972807,-0.01117995036315584
0.16506944444444446,5411.0341664789221,5392.082599099751,3374.3551518132026,3334.1262317489286,404.1186679972659,399.86103765707537,-0.003502392850626433,-0.011921957901395495,-0.010535594312657034
0.16708333333333333,5326.143504197009,5306.6540708521625,3329.4665977877903,3288.3527969688121,400.92400602354155,396.9800809119663,-0.0036592016962158028,-0.012348464719933104,-0.0098370889553160701
0.16909722222222223,5246.6111310465094,5226.6520196018864,3285.505628298135,3243.6568152278578,397.58584983627929,393.97019551669439,-0.0038041911142444162,-0.012737404163862143,-0.0090940216335007526
0.1711111111111111,5171.9113486624046,5151.5446987713185,3242.3583607590244,3199.9095110541948,394.11430290919122,390.83870315751574,-0.0039379348403474649,-0.013091967321863985,-0.0083112937731423166
0.173125,5101.4761654851891,5080.7566789933244,3199.934443941333,3157.0035084748006,390.52287023202655,387.5974244490352,-0.0040614688415179763,-0.013416192181004422,-0.007491099769017912
0.1751388888888889,5034.7477054728251,5013.7227891037201,3158.157850340428,3114.8465923209765,386.82621321755823,384.2601253727795,-0.0041759622525376541,-0.013714089058209323,-0.0066336968827278514
0.17715277777777777,4971.1801756557452,4949.8900176042462,3116.9685006902064,3073.363274553421,383.03963225672123,380.84207823748272,-0.004282717040866588,-0.013989626820781049,-0.0057371452825687305
0.17916666666666667,4910.2491044180533,4888.7255236856072,3076.327946432134,3032.4991462748162,379.17373501881855,377.3561995832971,-0.0043833989426483562,-0.014247115691338954,-0.0047934106918857246
0.18118055555555557,4851.4462444678375,4829.7121366713163,3036.2162573863443,2992.2187962151302,375.23691041292989,373.81517452995774,-0.0044799234499000775,-0.014490885181244735,-0.003788902007021624
0.18319444444444444,4794.2726254099034,4772.3425611340217,2996.6283900858753,2952.5036025987147,371.2399516953127,370.23482254571752,-0.004574221365645996,-0.014724811268939516,-0.0027074918661236002
0.18520833333333334,4738.2402063180325,4716.1210641000434,2957.5757137064215,2913.353239722378,367.19585805544739,366.63375369384175,-0.004668218843885354,-0.014952271138521116,-0.0015308025656453758
0.18722222222222223,4682.9094105313216,4660.6011880949691,2919.0860034971674,2874.7859080028243,363.11764680176475,363.03096330302969,-0.0047637527188084975,-0.015176015862934529,-0.00023872014896147008
0.1892361111111111,4628.0334618876504,4605.5307824761894,2881.194756875218,2836.8307289014956,359.01082494777279,359.43773279981656,-0.0048622551234283416,-0.015397788666614513,0.0011891225065591639
0.19125,4573.4267548277903,4550.7196895729621,2843.9420933164956,2799.5233262633119,354.87961863188673,355.86405203333652,-0.0049650003098569827,-0.015618731182175469,0.0027739925027109973
0.1932638888888889,4518.9064558992804,4495.9810355077752,2807.3743504781996,2762.9068130625346,350.72962606719148,352.32134290325814,-0.0050732230496997452,-0.015839546802189214,0.0045383016368333003
0.19527777777777777,4464.293545674358,4441.1322564929096,2771.5448618895743,2727.0324798040424,346.56748012407184,348.82204305669939,-0.0051881196754837858,-0.016060494887744466,0.0065054082160865539
0.19729166666666667,4409.4615306125725,4386.045288309816,2736.4947978150135,2691.9428623790832,342.39849105728695,345.37618973302324,-0.0053104539273536727,-0.016280657822373108,0.0086965881962315396
0.19930555555555557,4354.4864381031584,4330.801114462326,2702.1869626292487,2657.6122539460248,338.22008410177045,341.98145888961039,-0.0054392920904697706,-0.016495790002573455,0.011121086430538947
0.20131944444444444,4299.4936702140985,4275.5316151566039,2668.5603851611895,2623.9929882521806,334.02799627063303,338.63205154660477,-0.0055732271973088776,-0.016700913779890702,0.013783441290476416
0.20333333333333334,4244.6044428368687,4220.364291878318,2635.5508772702774,2591.0332534969725,329.81857196697115,335.32203536465727,-0.0057108150559136263,-0.016891202578268257,0.016686335656796336
