k,variation,tracer,parameter_index,baseline_value,delta,P0_baseline_AB,P0_varied_AB,fractional_response
0.038194444444444448,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,27358.020589491964,27423.6429152087,0.0023986503519900768
0.040208333333333332,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,26023.359984122879,26095.09523146243,0.0027565713029876885
0.042222222222222223,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,24818.891885469166,24896.762509311327,0.0031375544162692112
0.044236111111111115,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,23742.001563981416,23826.025205568752,0.0035390294015820354
0.046249999999999999,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,22786.603388547002,22876.799208926175,0.0039582828050848074
0.048263888888888891,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,21945.215138483531,22041.607070293823,0.0043923894663150482
0.050277777777777775,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,21207.279046306059,21309.896558066408,0.004838787264329558
0.052291666666666667,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,20557.516333807242,20666.39375551659,0.0052962342308977102
0.054305555555555558,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,19981.614511473068,20096.789772309432,0.0057640617964195319
0.056319444444444443,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,19464.634896756281,19586.147883432615,0.0062427570473764342
0.058333333333333334,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,18991.691511088102,19119.58186064606,0.0067340157396349083
0.060347222222222226,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,18549.256631069773,18683.560787563722,0.0072404064036178549
0.06236111111111111,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,18125.081149470621,18265.828034432849,0.0077653106102831505
0.064375000000000002,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,17708.408831647514,17855.615493390364,0.0083128113396484359
0.066388888888888886,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,17290.597273455809,17444.263601444538,0.0088872770303102516
0.068402777777777771,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,16865.234210765084,17025.338351750874,0.0094931466106527793
0.070416666666666669,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,16427.908106552262,16594.403136490124,0.010134889290709818
0.072430555555555554,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,15976.741747577064,16149.553176812993,0.01081643754191227
0.074444444444444438,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,15511.435726888223,15690.46131944359,0.011541523022593935
0.076458333333333323,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,15033.963183946358,15219.074003677142,0.012312842426569858
0.078472222222222221,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,14547.312156379023,14738.354786525413,0.013132503660658565
0.080486111111111105,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,14055.960782062382,14252.761370613136,0.014001219240871972
0.08249999999999999,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,13564.805352205651,13767.172768289278,0.014918563947600032
0.084513888888888888,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,13079.260030608719,13286.991572402167,0.015882514859961831
0.086527777777777773,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,12604.717354492932,12817.601652571893,0.016889255989788545
0.088541666666666657,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,12146.03919741754,12363.862216825568,0.017933666758982704
0.090555555555555542,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,11707.802021048044,11930.349547050537,0.019008480464770498
0.09256944444444444,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,11293.506420438127,11520.568863505518,0.020105575240694982
0.094583333333333325,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,10905.933260694259,11137.30857353236,0.02121554453959424
0.096597222222222209,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,10547.062828581997,10782.558722863096,0.022328101966257115
0.098611111111111108,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,10217.506885527357,10456.944637852437,0.023434068115406256
0.10062499999999999,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,9917.5747185926975,10160.78927048309,0.024523591582772036
0.10263888888888888,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,9646.3289064114288,9893.1712955556031,0.025589256963870544
0.10465277777777778,b2_B_plus_0p40,B,1,-0.23000000000000001,0.40000000000000002,9402.2514957171061,9652.5893696803032,0.02662531140304325
