k,mu,P_AA,P_AB,P_BB,geometric_mean,r_minus_one,valid_geometric_mean
0.086527777777777773,1,27451.163716580741,20172.827346225829,14864.037342573769,20199.879271430367,-0.0013392122220650116,1
0.088541666666666657,0,13703.691758171986,8921.1380381096969,5807.7887339653007,8921.2188969245908,-9.0636510355901478e-06,1
0.088541666666666657,0.5,16457.116568982226,11155.801583063725,7573.8864460869891,11164.422605915996,-0.00077218707644599593,1
0.088541666666666657,1,26556.671747897522,19477.909632218278,14325.005730406612,19504.473204092425,-0.00136192203686758,1
0.090555555555555542,0,13213.270390735519,8590.3970583503906,5584.7752279819388,8590.2936596374257,1.2036691300787439e-05,1
0.090555555555555542,0.5,15877.856976829828,10746.568095834493,7284.9736499679648,10754.988130824009,-0.00078289579561541256,1
0.090555555555555542,1,25706.446134532813,18817.567896531797,13812.912871350531,18843.590440475175,-0.0013809758827851848,1
0.09256944444444444,0,12748.198906537709,8276.7895588737701,5373.3228386204783,8276.4840563959096,3.6912108545061884e-05,1
0.09256944444444444,0.5,15329.53176959458,10359.243409210641,7011.5491431281362,10367.437742453842,-0.00079039136252967435,1
0.09256944444444444,1,24906.437542530999,18196.238271114682,13331.068782947012,18221.674786299267,-0.001395948258483326,1
0.094583333333333325,0,12312.166565107871,7982.7455995001301,5175.0329167056316,7982.2219494571655,6.5602039918344346e-05,1
0.094583333333333325,0.5,14816.129724567125,9996.55999613526,6755.4863575402223,10004.507095597433,-0.00079435192421128953,1
0.094583333333333325,1,24161.106147833845,17617.220169473676,12881.916266246997,17642.033507969005,-0.0014064897044958613,1
0.096597222222222209,0,11907.950349273158,7710.0871853757117,4991.1014628616249,7709.3312555591265,9.8053876727677292e-05,1
0.096597222222222209,0.5,14340.563096943388,9660.5013793925173,6518.1375249049634,9668.1829963263535,-0.00079452539704250036,1
0.096597222222222209,1,23473.32913352122,17082.61430694702,12466.990029504113,17106.775273758565,-0.0014123624368064247,1
0.098611111111111108,0,11536.738553743249,7459.5765714537947,4822.0175012472901,7458.5759507740013,0.00013415706783681536,1
0.098611111111111108,0.5,13903.896294740869,9351.7632580647787,6299.9570771844983,9359.1639510424247,-0.00079074295699477215,1
0.098611111111111108,1,22843.357701191457,16592.522877640753,12086.303069998763,16616.008675761765,-0.0014134440213232624,1
0.10062499999999999,0,11199.362243296713,7231.7390808217506,4668.1128691273261,7230.483179840201,0.00017369530504551811,1
0.10062499999999999,0.5,13506.778021905246,9070.7543835743636,6101.2013105733904,9077.8616297491644,-0.0007829207433069918,1
0.10062499999999999,1,22270.868359562268,16146.61997723525,11739.549436287705,16169.414339923907,-0.0014097209836707592,1
0.10263888888888888,0,10895.129962662682,7026.0885054406972,4529.0472831401894,7024.5682256532109,0.00021642323608372926,1
0.10263888888888888,0.5,13148.136970065458,8816.6913453149791,5921.2998764603526,8823.494875418266,-0.00077106976309815334,1
0.10263888888888888,1,21753.291951513438,15742.883953355842,11425.141953958797,15764.975373020739,-0.0014012974420944957,1
0.10465277777777778,0,10622.630210310866,6841.6605972417037,4404.1630548281782,6839.8680921018349,0.00026206720886023938,1
0.10465277777777778,0.5,12826.095106281236,8588.2322275551578,5759.2955937583229,8594.7235575515006,-0.00075526920125768005,1
0.10465277777777778,1,21287.039303577683,15378.524851231581,11140.91439818535,15399.905281266054,-0.001388348151756591,1
0.10666666666666666,0,10380.046947105173,6677.2245758399886,4292.6268684365878,6675.1530634717919,0.0003103318153905299,1
0.10666666666666666,0.5,12538.342031702448,8383.7392340723163,5614.0287098848676,8389.9113308981832,-0.00073565697925037643,1
0.10666666666666666,1,20868.065883524552,15050.41818761825,10884.454805355137,15071.082243302781,-0.0013711062915680028,1
0.10868055555555554,0,10164.506797229316,6530.851587638309,4193.1444756503151,6528.4948896749693,0.00036098641465853731,1
0.10868055555555554,0.5,12281.430163666078,8200.7932979827947,5483.8024517654148,8206.6398021783407,-0.00071241145419764784,1
0.10868055555555554,1,20491.070206455151,14754.504306791057,10652.655095704726,14774.447653000019,-0.0013498539287126743,1
0.11069444444444444,0,9972.9655918666758,6400.5003717799273,4104.3476626172978,6397.8526097699942,0.00041385167358964914,1
0.11069444444444444,0.5,12051.744486263669,8036.8608952956974,5366.8417452474987,8042.3756074891353,-0.00068570686854052543,1
0.11069444444444444,1,20150.635625630999,14486.639335557733,10442.345548914489,14505.857445635731,-0.0013248517124908599,1
0.11270833333333333,0,9802.1145046938109,6283.9588793710927,4024.7580819906275,6281.0142153448414,0.00046881983152613493,1
0.11270833333333333,0.5,11845.431132735013,7889.2507466236448,5261.2674569269484,7894.4272326704013,-0.00065571394785102211,1
0.11270833333333333,1,19841.27199989642,14242.639556536131,10250.338077021759,14261.127089998321,-0.0012963585097811592,1
0.11472222222222221,0,9648.2621828574665,6178.7676766450104,3952.7374934717568,6175.520032922439,0.00052588991781377104,1
0.11472222222222221,0.5,11658.283188252461,7755.0371271504,5165.0448997182812,7759.8683056450609,-0.00062258511412449646,1
0.11472222222222221,1,19557.332780532943,14018.222762027508,10073.384863684729,14035.973069419366,-0.0012646296273203239,1
0.11673611111111111,0,9507.7019256823551,6082.4576115318623,3886.6415529794826,6078.9003428005035,0.00058518293289200329,1
0.11673611111111111,0.5,11486.105972951951,7631.3030882186722,5076.1456343792506,7635.7806863880969,-0.00058639690600426064,1
