k,P0_AA,P0_AB,P0_BB,P2_AA,P2_AB,P2_BB,P4_AA,P4_AB,P4_BB
0.054305555555555558,28447.242114524917,19981.614511473068,14071.535728775987,13386.987171995512,11348.975364193488,9385.9683557594053,741.21954160227597,719.53090180437584,706.38098794710413
0.056319444444444443,27737.736102035487,19464.634896756281,13695.165800752788,13021.405611025866,11025.685789254338,9109.4568844622736,721.89980913869749,698.06574181713268,683.2943786770802
0.058333333333333334,27090.072346408528,18991.691511088102,13350.176319476705,12685.469947614052,10728.086325528253,8854.5350720068291,704.34672181009773,678.38334205641786,662.00716801477665
0.060347222222222226,26485.155712744468,18549.256631069773,13026.964375264393,12370.669077686141,10448.800217265511,8615.0031492307735,688.21549379528005,660.11331594123067,642.12355601145737
0.06236111111111111,25905.663690867812,18125.081149470621,12716.851025101736,12069.593169880754,10181.378214704237,8385.4277284210802,673.25286989413144,642.9728035109033,623.33112003444035
0.064375000000000002,25336.357174319026,17708.408831647514,12412.229127018045,11775.998612191841,9920.3591103592662,8161.1943729465547,659.28525406681729,626.75693445060642,605.3935529708358
0.066388888888888886,24764.958260244715,17290.597273455809,12107.003510900404,11485.146265415398,9661.5694269499782,7938.7632699006881,646.22078114065334,611.34409129582809,588.15896773355712
0.068402777777777771,24182.325566494794,16865.234210765084,11796.667942003907,11193.771784787985,9402.1062548971058,7715.6588976314551,634.02947629385926,596.67897338031116,571.54579810535392
0.070416666666666669,23582.136717727568,16427.908106552262,11478.139084714807,10899.887741443727,9140.1702328568426,7490.331784001447,622.72620330510836,582.75632641764332,555.52733708708001
0.072430555555555554,22961.651632504123,15976.741747577064,11150.13029819684,10602.997239497088,8875.2644005176062,7262.3329857839626,612.3599172219956,569.61437222962468,540.12925296230947
0.074444444444444438,22320.367394624383,15511.435726888223,10812.470019089629,10303.484523642897,8607.6645904414945,7031.8676357699287,602.99016012802167,557.30878248947283,525.40126774858481
0.076458333333333323,21661.01095191576,15033.963183946358,10466.588986570832,10002.906199925565,8338.6891442425804,6800.0309643981818,594.67894260791854,545.90908302982371,511.4180995759707
0.078472222222222221,20987.759522563152,14547.312156379023,10114.629573038321,9703.2695781319671,8070.0655054307044,6568.2715528130129,587.47539182914079,535.47839209375343,498.25453183268019
0.080486111111111105,20306.925283211796,14055.960782062382,9759.7761965920054,9407.1952929921754,7804.0863936292562,6338.5304705468934,581.40788883931418,526.06842450536806,485.98351385610476
0.08249999999999999,19625.42760280945,13564.805352205651,9405.5016760636263,9117.3690363051064,7543.1233393907605,6112.8269727408569,576.48107413659864,517.7116519673209,474.66350590909747
0.084513888888888888,18950.949899016829,13079.260030608719,9055.6299344413601,8836.4982076758388,7289.5979188749798,5893.2380942877699,572.66690671697779,510.41275087005715,464.33078314988666
0.086527777777777773,18291.15598372517,12604.717354492932,8713.964150871403,8567.1157217910295,7045.8020191714322,5681.7438309945901,569.91399068068131,504.15520865838289,455.00301366629969
0.088541666666666657,17652.985051178537,12146.03919741754,8383.9185425541473,8311.2455580863716,6813.6027105908561,5479.9746258498735,568.14005089788134,498.89051694916952,446.66570558607032
0.090555555555555542,17042.97957426004,11707.802021048044,8068.7017220418038,8070.6237903583715,6594.6343070738549,5289.3748223825924,567.24577132250943,494.55303458540243,439.28767888852144
